"","country","sex","field","level.of.education","year","percent","flags"
"1","Australia","T","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.001,""
"2","Australia","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.001,""
"3","Australia","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.002,""
"4","Australia","T","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"5","Australia","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"6","Australia","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"7","Australia","T","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"8","Australia","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"9","Australia","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"10","Australia","T","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.479,""
"11","Australia","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.905,""
"12","Australia","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.992,""
"13","Australia","T","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,9.882,""
"14","Australia","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,13.629,""
"15","Australia","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,5.522,""
"16","Australia","T","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.497,""
"17","Australia","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.305,""
"18","Australia","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.694,""
"19","Australia","T","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.286,""
"20","Australia","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,13.265,""
"21","Australia","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.879,""
"22","Australia","T","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,4.999,""
"23","Australia","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,6.065,""
"24","Australia","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,3.758,""
"25","Australia","T","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,10.506,""
"26","Australia","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.749,""
"27","Australia","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.268,""
"28","Australia","T","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.704,""
"29","Australia","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.97,""
"30","Australia","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.885,""
"31","Australia","T","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,5.439,""
"32","Australia","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,6.508,""
"33","Australia","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,4.196,""
"34","Australia","T","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.686,""
"35","Australia","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,15.153,""
"36","Australia","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.231,""
"37","Australia","T","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,30.448,""
"38","Australia","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,27.461,""
"39","Australia","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,34.742,""
"40","Australia","T","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,44.112,""
"41","Australia","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,42.041,""
"42","Australia","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,46.521,""
"43","Australia","T","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.472,""
"44","Australia","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.498,""
"45","Australia","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.447,""
"46","Australia","T","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.562,""
"47","Australia","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.656,""
"48","Australia","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.865,""
"49","Australia","T","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,2.794,""
"50","Australia","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,2.734,""
"51","Australia","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,2.865,""
"52","Australia","T","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,22.906,""
"53","Australia","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,21.418,""
"54","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.39,""
"55","Australia","T","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.25,""
"56","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.015,""
"57","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.462,""
"58","Australia","T","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,6.708,""
"59","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,3.508,""
"60","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,10.432,""
"61","Australia","T","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.798,""
"62","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.038,""
"63","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.552,""
"64","Australia","T","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.797,""
