"country","sex","field","level.of.education","year","percent","flags"
"Australia","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.001,""
"Australia","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.002,""
"Australia","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Australia","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Australia","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Australia","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Australia","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.905,""
"Australia","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.992,""
"Australia","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,13.629,""
"Australia","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,5.522,""
"Australia","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.305,""
"Australia","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.694,""
"Australia","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,13.265,""
"Australia","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.879,""
"Australia","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,6.065,""
"Australia","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,3.758,""
"Australia","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.749,""
"Australia","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.268,""
"Australia","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.97,""
"Australia","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.885,""
"Australia","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,6.508,""
"Australia","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,4.196,""
"Australia","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,15.153,""
"Australia","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.231,""
"Australia","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,27.461,""
"Australia","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,34.742,""
"Australia","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,42.041,""
"Australia","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,46.521,""
