"","country","degree","sex","age","year","earn.month","flags"
"1","Australia","Tertiary education","M","25-64 years",2016,134.34467,""
"2","Australia","Bachelor’s or equivalent education","M","25-64 years",2016,137.83601,""
"3","Australia","Tertiary education","M","25-64 years",2016,133.10944,""
"4","Australia","Bachelor’s or equivalent education","M","25-64 years",2016,136.56868,""
"5","Australia","Tertiary education","M","25-64 years",2016,134.34467,""
"6","Australia","Bachelor’s or equivalent education","M","25-64 years",2016,137.83601,""
"7","Australia","Tertiary education","T","25-64 years",2016,131.4847,""
"8","Australia","Bachelor’s or equivalent education","T","25-64 years",2016,134.13374,""
"9","Australia","Bachelor’s or equivalent education","F","25-64 years",2016,139.63794,""
"10","Australia","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,143.93675,""
"11","Australia","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,145.18436,""
"12","Australia","Master’s, Doctoral or equivalent education","T","25-64 years",2016,149.17682,""
"13","Australia","Master’s, Doctoral or equivalent education","F","25-64 years",2016,158.81284,""
"14","Australia","Master’s, Doctoral or equivalent education","M","25-64 years",2016,152.59207,""
"15","Australia","Tertiary education","T","25-64 years",2016,130.48096,""
"16","Australia","Bachelor’s or equivalent education","T","25-64 years",2016,133.1098,""
"17","Australia","Bachelor’s or equivalent education","F","25-64 years",2016,137.94012,""
"18","Australia","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,142.18669,""
"19","Australia","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,143.14471,""
"20","Australia","Master’s, Doctoral or equivalent education","T","25-64 years",2016,148.03804,""
"21","Australia","Master’s, Doctoral or equivalent education","F","25-64 years",2016,156.88188,""
"22","Australia","Master’s, Doctoral or equivalent education","M","25-64 years",2016,150.44835,""
"23","Australia","Tertiary education","T","25-64 years",2016,131.4847,""
"24","Australia","Bachelor’s or equivalent education","T","25-64 years",2016,134.13374,""
"25","Australia","Bachelor’s or equivalent education","F","25-64 years",2016,139.63794,""
"26","Australia","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,143.93675,""
"27","Australia","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,145.18436,""
"28","Australia","Master’s, Doctoral or equivalent education","T","25-64 years",2016,149.17682,""
"29","Australia","Master’s, Doctoral or equivalent education","F","25-64 years",2016,158.81284,""
"30","Australia","Master’s, Doctoral or equivalent education","M","25-64 years",2016,152.59207,""
"31","Australia","Bachelor’s or equivalent education","T","25-64 years",2016,146.41641,""
"32","Australia","Bachelor’s or equivalent education","F","25-64 years",2016,181.52222,""
"33","Australia","Bachelor’s or equivalent education","M","25-64 years",2016,144.75452,""
"34","Australia","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,149.63472,""
"35","Australia","Master’s, Doctoral or equivalent education","T","25-64 years",2016,168.31104,""
"36","Australia","Master’s, Doctoral or equivalent education","F","25-64 years",2016,201.33871,""
"37","Australia","Master’s, Doctoral or equivalent education","M","25-64 years",2016,163.20258,""
"38","Australia","Bachelor’s or equivalent education","T","25-64 years",2016,144.86975,""
