"location","subject","time","mean.score"
"AUS","BOY",2003,527
"AUS","BOY",2006,527
"AUS","BOY",2009,519
"AUS","BOY",2012,510.115
"AUS","BOY",2015,497
"AUS","BOY",2018,494
"AUS","GIRL",2003,522
"AUS","GIRL",2006,513
"AUS","GIRL",2009,509
"AUS","GIRL",2012,497.821
"AUS","GIRL",2015,491
"AUS","GIRL",2018,488
"AUT","BOY",2003,509
"AUT","BOY",2006,517
"AUT","BOY",2012,516.682
"AUT","BOY",2015,510
"AUT","BOY",2018,505
"AUT","GIRL",2003,502
"AUT","GIRL",2006,494
"AUT","GIRL",2012,494.462
"AUT","GIRL",2015,483
"AUT","GIRL",2018,492
"BEL","BOY",2003,533
"BEL","BOY",2006,524
"BEL","BOY",2009,526
"BEL","BOY",2012,520.081
"BEL","BOY",2015,514
"BEL","BOY",2018,514
"BEL","GIRL",2003,525
"BEL","GIRL",2006,517
"BEL","GIRL",2009,504
"BEL","GIRL",2012,508.935
"BEL","GIRL",2015,500
"BEL","GIRL",2018,502
"CAN","BOY",2003,541
"CAN","BOY",2006,534
"CAN","BOY",2009,533
"CAN","BOY",2012,523.154
"CAN","BOY",2015,520
"CAN","BOY",2018,514
"CAN","GIRL",2003,530
"CAN","GIRL",2006,520
"CAN","GIRL",2009,521
"CAN","GIRL",2012,513.022
"CAN","GIRL",2015,511
"CAN","GIRL",2018,510
"CZE","BOY",2003,524
"CZE","BOY",2006,514
"CZE","BOY",2009,495
"CZE","BOY",2012,504.71
"CZE","BOY",2015,496
"CZE","BOY",2018,501
"CZE","GIRL",2003,509
"CZE","GIRL",2006,504
"CZE","GIRL",2009,490
"CZE","GIRL",2012,492.903
"CZE","GIRL",2015,489
"CZE","GIRL",2018,498
"DNK","BOY",2003,523
"DNK","BOY",2006,518
"DNK","BOY",2009,511
"DNK","BOY",2012,506.953
"DNK","BOY",2015,516
"DNK","BOY",2018,511
"DNK","GIRL",2003,506
"DNK","GIRL",2006,508
"DNK","GIRL",2009,495
"DNK","GIRL",2012,493.029
"DNK","GIRL",2015,506
"DNK","GIRL",2018,507
"FIN","BOY",2003,548
"FIN","BOY",2006,554
"FIN","BOY",2009,542
"FIN","BOY",2012,517.391
"FIN","BOY",2015,507
"FIN","BOY",2018,504
"FIN","GIRL",2003,541
"FIN","GIRL",2006,543
"FIN","GIRL",2009,539
"FIN","GIRL",2012,520.185
"FIN","GIRL",2015,515
"FIN","GIRL",2018,510
"FRA","BOY",2003,515
"FRA","BOY",2006,499
"FRA","BOY",2009,505
"FRA","BOY",2012,499.355
"FRA","BOY",2015,496
"FRA","BOY",2018,499
"FRA","GIRL",2003,507
"FRA","GIRL",2006,492
"FRA","GIRL",2009,489
"FRA","GIRL",2012,490.853
"FRA","GIRL",2015,490
"FRA","GIRL",2018,492
"DEU","BOY",2003,508
"DEU","BOY",2006,513
"DEU","BOY",2009,520
"DEU","BOY",2012,520.19
"DEU","BOY",2015,514
"DEU","BOY",2018,503
"DEU","GIRL",2003,499
"DEU","GIRL",2006,494
"DEU","GIRL",2009,505
"DEU","GIRL",2012,506.625
"DEU","GIRL",2015,498
"DEU","GIRL",2018,496
"GRC","BOY",2003,455
"GRC","BOY",2006,462
"GRC","BOY",2009,473
"GRC","BOY",2012,457.039
"GRC","BOY",2015,454
"GRC","BOY",2018,452
"GRC","GIRL",2003,436
"GRC","GIRL",2006,457
"GRC","GIRL",2009,459
"GRC","GIRL",2012,448.984
"GRC","GIRL",2015,454
"GRC","GIRL",2018,451
"HUN","BOY",2003,494
"HUN","BOY",2006,496
"HUN","BOY",2009,496
"HUN","BOY",2012,481.749
"HUN","BOY",2015,481
"HUN","BOY",2018,486
"HUN","GIRL",2003,486
"HUN","GIRL",2006,486
"HUN","GIRL",2009,484
"HUN","GIRL",2012,472.664
"HUN","GIRL",2015,473
"HUN","GIRL",2018,477
"ISL","BOY",2003,508
"ISL","BOY",2006,503
"ISL","BOY",2009,508
"ISL","BOY",2012,489.72
"ISL","BOY",2015,487
"ISL","BOY",2018,490
"ISL","GIRL",2003,523
"ISL","GIRL",2006,508
