"","location","subject","time","mean.score"
"1","AUS","BOY",2006,527
"2","AUS","BOY",2009,527
"3","AUS","BOY",2012,523.728
"4","AUS","BOY",2015,511
"5","AUS","BOY",2018,504
"6","AUS","GIRL",2006,527
"7","AUS","GIRL",2009,528
"8","AUS","GIRL",2012,519.124
"9","AUS","GIRL",2015,509
"10","AUS","GIRL",2018,502
"11","AUT","BOY",2006,515
"12","AUT","BOY",2012,510.108
"13","AUT","BOY",2015,504
"14","AUT","BOY",2018,491
"15","AUT","GIRL",2006,507
"16","AUT","GIRL",2012,501.479
"17","AUT","GIRL",2015,486
"18","AUT","GIRL",2018,489
"19","BEL","BOY",2006,511
"20","BEL","BOY",2009,510
"21","BEL","BOY",2012,506.82
"22","BEL","BOY",2015,508
"23","BEL","BOY",2018,501
"24","BEL","GIRL",2006,510
"25","BEL","GIRL",2009,503
"26","BEL","GIRL",2012,502.9
"27","BEL","GIRL",2015,496
"28","BEL","GIRL",2018,496
"29","CAN","BOY",2006,536
"30","CAN","BOY",2009,531
"31","CAN","BOY",2012,526.875
"32","CAN","BOY",2015,528
"33","CAN","BOY",2018,516
"34","CAN","GIRL",2006,532
"35","CAN","GIRL",2009,526
"36","CAN","GIRL",2012,524.053
"37","CAN","GIRL",2015,527
"38","CAN","GIRL",2018,520
"39","CZE","BOY",2006,515
"40","CZE","BOY",2009,498
"41","CZE","BOY",2012,508.721
"42","CZE","BOY",2015,497
"43","CZE","BOY",2018,496
"44","CZE","GIRL",2006,510
"45","CZE","GIRL",2009,503
"46","CZE","GIRL",2012,507.855
"47","CZE","GIRL",2015,488
"48","CZE","GIRL",2018,498
"49","DNK","BOY",2006,500
"50","DNK","BOY",2009,505
"51","DNK","BOY",2012,503.533
"52","DNK","BOY",2015,505
"53","DNK","BOY",2018,492
"54","DNK","GIRL",2006,491
"55","DNK","GIRL",2009,494
"56","DNK","GIRL",2012,493.363
"57","DNK","GIRL",2015,499
"58","DNK","GIRL",2018,494
"59","FIN","BOY",2006,562
"60","FIN","BOY",2009,546
"61","FIN","BOY",2012,537.436
"62","FIN","BOY",2015,521
"63","FIN","BOY",2018,510
"64","FIN","GIRL",2006,565
"65","FIN","GIRL",2009,562
"66","FIN","GIRL",2012,553.893
"67","FIN","GIRL",2015,541
"68","FIN","GIRL",2018,534
"69","FRA","BOY",2006,497
"70","FRA","BOY",2009,500
"71","FRA","BOY",2012,497.716
"72","FRA","BOY",2015,496
"73","FRA","BOY",2018,493
"74","FRA","GIRL",2006,494
"75","FRA","GIRL",2009,497
"76","FRA","GIRL",2012,500.157
"77","FRA","GIRL",2015,494
"78","FRA","GIRL",2018,493
"79","DEU","BOY",2006,519
"80","DEU","BOY",2009,523
"81","DEU","BOY",2012,523.86
"82","DEU","BOY",2015,514
"83","DEU","BOY",2018,502
"84","DEU","GIRL",2006,512
"85","DEU","GIRL",2009,518
"86","DEU","GIRL",2012,524.391
"87","DEU","GIRL",2015,504
"88","DEU","GIRL",2018,504
"89","GRC","BOY",2006,468
"90","GRC","BOY",2009,465
"91","GRC","BOY",2012,460.02
"92","GRC","BOY",2015,451
"93","GRC","BOY",2018,446
"94","GRC","GIRL",2006,479
"95","GRC","GIRL",2009,475
"96","GRC","GIRL",2012,473.298
"97","GRC","GIRL",2015,459
"98","GRC","GIRL",2018,457
"99","HUN","BOY",2006,507
"100","HUN","BOY",2009,503
"101","HUN","BOY",2012,495.913
"102","HUN","BOY",2015,478
"103","HUN","BOY",2018,484
"104","HUN","GIRL",2006,501
"105","HUN","GIRL",2009,503
"106","HUN","GIRL",2012,492.803
"107","HUN","GIRL",2015,475
"108","HUN","GIRL",2018,478
"109","ISL","BOY",2006,488
"110","ISL","BOY",2009,496
"111","ISL","BOY",2012,476.676
"112","ISL","BOY",2015,472
"113","ISL","BOY",2018,471
"114","ISL","GIRL",2006,494
"115","ISL","GIRL",2009,495
"116","ISL","GIRL",2012,479.669
"117","ISL","GIRL",2015,475
"118","ISL","GIRL",2018,479
"119","IRL","BOY",2006,508
"120","IRL","BOY",2009,507
"121","IRL","BOY",2012,523.942
"122","IRL","BOY",2015,508
"123","IRL","BOY",2018,495
"124","IRL","GIRL",2006,509
"125","IRL","GIRL",2009,509
"126","IRL","GIRL",2012,520
"127","IRL","GIRL",2015,497
"128","IRL","GIRL",2018,497
"129","ITA","BOY",2006,477
"130","ITA","BOY",2009,488
"131","ITA","BOY",2012,494.897
"132","ITA","BOY",2015,489
"133","ITA","BOY",2018,470
"134","ITA","GIRL",2006,474
"135","ITA","GIRL",2009,490
"136","ITA","GIRL",2012,492.087
"137","ITA","GIRL",2015,472
"138","ITA","GIRL",2018,466
"139","JPN","BOY",2006,533
"140","JPN","BOY",2009,534
"141","JPN","BOY",2012,551.947
"142","JPN","BOY",2015,545
"143","JPN","BOY",2018,531
"144","JPN","GIRL",2006,530
"145","JPN","GIRL",2009,545
"146","JPN","GIRL",2012,540.959
"147","JPN","GIRL",2015,532
