"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",24,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",17,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",34,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",30,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",32,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",35,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",10,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",18,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2400,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3100,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3100,,
