"COUNTRY","Country","SEX","Sex","FIELD","Field of education","COUNTRY_ORIGIN","Country of origin","ISC11_LEVEL","Level of education","ISC11P_CAT","Category of education","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,39679,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,41403,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,49413.371,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,50580.3,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,50570.331,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,42348,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,44934,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,53434.835,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,53861.028,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,52902.179,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,30802,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,32173,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,38100.09,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,38945.914,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,38988.12,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,32582,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,34756,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,41322.667,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,41633.294,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,40961.615,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,2184,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,2438,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,3632.28,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3843.387,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4040.211,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,2593,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,2847,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,3875.169,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3995.734,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4098.564,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,4920,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,4992,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,5622,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,5695,,
"AUS","Australia","F","Women","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,5705,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,5474,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,5676,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,6350,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,6433,,
"AUS","Australia","M","Men","F05","Natural sciences, mathematics and statistics","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,6275,,
